review	rating
Det var slarvigt arbete på taket, och det blev många sönder trampade sanda pannor. När jag kom upp på taket efter att de hade lämnat platsen, såg jag att en av pannorna var sönder under ett fäste tur såg det annars hade all vatten läckt in .De lovade att arbetet skulle vara klart i juni, men det blev istället färdigt i oktober.	1
Inte nöjd med servicen, främst säljaren som inte hanterade det hela bra efter påskrivit kontrakt.	1
Det fungerade inte alls att ta bort jordslag, dvs svartmögel från tyget.	1
Snabb leverans men svartmöglet rådde det inte på, så för mig var det pengarna i sjön	1
Svär att kanta.	1
Har sprayat på svartmögel i duschen 4 gånger, skrubbat mm, är i stort sett ingen skillnad….	1
Bra produkt. Den fungerar men leveransen är under all kritik. Det kan vara dhls fel men ta iså fall upp det med er leverantör. Hemsidan hävdar leverans inom 2-4 dagar. Beställde 29/4. 10/5 ligger fortfarande kvar på terminal enligt spårningsnummer. Lite irriterande att få en automatgenererad betygförfrågan innan produkten.	1
Mina kakelfogar i duschen påverkas inte alls av Biokols spray. Jag har upprepat behandlingen flera ggr.	1
Det enda hygieniska tvättmedlet i sverige som tar bort svamp, e-coli mm redan på 30-40grader. Dessutom inte längre klåda och eksem där kläder suttit åt.	1
Lurar på pengar i Örebro! Kjell-Åke dryg säljare som är tydlig i telefonen att det ska vara gratis, kommer sedan på plats och säger att det endast är radon provet som kostar och vi tackar nej till det. Ändå får vi en dyr faktura på allt annat! Fast det skulle vara gratis och vi var tydliga med att vi ej vill ha det som kostar.Anmäld till ARN!	1
Jag tycker allt kan / borde bli bättre,dårlig hemsida var det inte går tydligt fram att man måste lämna vattenprovet till företagets inlämningställe. De andra företag som gör analys lämnar man provet där man hämtar ut det,med retur sädel klart.Da jag ble klar över detta,så var vattenprovet för gammalt,och jag fick trygla fram ett nytt kit och göra nytt prov. Ja jag fick detta nye kit gratis. MEN så var det företagets inlämningställe,närmaste var 50km bort,så det blev 100 km och köra,och tiden det tog. Resultatet tog lang tid och få fram,och jag fick purre på detta. Nei,aldrig mer detta företag till vattenprov.	1
